<eps>	sil 
bật	ɓ ə˨˩ k 
bậu	ɓ ə˨˩ w 
bậy	ɓ ə˨˩ j 
bắc	ɓ a˦˥ k 
bắn	ɓ a˦˥ ŋ 
bắp	ɓ a˦˥ p 
bắt	ɓ a˦˥ k 
bằm	ɓ a˦˨ m 
bằng	ɓ a˦˨ ŋ 
bẵm	ɓ a˨ˀ˥ m 
bẵng	ɓ a˨ˀ˥ ŋ 
bặt	ɓ a˨˩ k 
bẹ	ɓ ɛː˨˩ 
bẹn	ɓ ɛː˨˩ ŋ 
bẹo	ɓ ɛː˨˩ w 
bẹp	ɓ ɛː˨˩ p 
bẹt	ɓ ɛː˨˩ k 
bẻ	ɓ ɛː˨˨ˀ 
bế	ɓ eː˦˥ 
bến	ɓ eː˨˦ n 
bếp	ɓ eː˦˥ p 
bết	ɓ eː˦˥ t 
bề	ɓ eː˦˨ 
bền	ɓ eː˨˨ n 
bể	ɓ eː˨˨ˀ 
bển	ɓ eː˨˩˨ n 
bệ	ɓ eː˨˩ 
bệch	ɓ e˨˩ c 
bện	ɓ eː˨˩ˀ n 
bệnh	ɓ e˨˩ˀ ɲ 
bệt	ɓ eː˨˩ t 
bệu	ɓ eː˨˩ w 
bỉ	ɓ iː˨˩˨ 
bỉm	ɓ iː˨˩˨ m 
bỉnh	ɓ i˨˩˨ ɲ 
bị	ɓ iː˨˩ˀ 
bịa	ɓ iə˨˩ 
bịch	ɓ i˨˩ c 
bịn	ɓ iː˨˩ˀ n 
bịnh	ɓ i˨˩ˀ ɲ 
bịp	ɓ iː˨˩ p 
bịt	ɓ iː˨˩ t 
bọ	ɓ ɔː˨˩ 
bọc	ɓ ɔ˨˩ kp 
bọn	ɓ ɔː˨˩ ŋ 
bọng	ɓ ɔ˨˩ ŋm 
bọp	ɓ ɔː˨˩ p 
bọt	ɓ ɔː˨˩ k 
bỏ	ɓ ɔː˨˨ˀ 
bỏng	ɓ ɔ˨˨ˀ ŋm 
bố	ɓ oː˦˥ 
bốc	ɓ o˦˥ kp 
bối	ɓ oː˦˥ j 
bốn	ɓ oː˨˦ n 
bống	ɓ o˨˦ ŋm 
bốp	ɓ oː˦˥ p 
bốt	ɓ oː˦˥ t 
bồ	ɓ oː˦˨ 
bồi	ɓ oː˦˨ j 
bồn	ɓ oː˨˨ n 
bồng	ɓ o˨˨ ŋm 
bổ	ɓ oː˨˨ˀ 
bổi	ɓ oː˨˨ˀ j 
bổn	ɓ oː˨˩˨ n 
bổng	ɓ o˨˩˨ ŋm 
bỗng	ɓ o˨ˀ˥ ŋm 
bộ	ɓ oː˨˩ 
bộc	ɓ o˨˩ kp 
bội	ɓ oː˨˩ j 
bộn	ɓ oː˨˩ˀ n 
bộng	ɓ o˨˩ˀ ŋm 
bộp	ɓ oː˨˩ p 
bột	ɓ oː˨˩ t 
bớ	ɓ əː˦˥ 
bới	ɓ əː˦˥ j 
bớp	ɓ əː˦˥ p 
bớt	ɓ əː˦˥ k 
bờ	ɓ əː˦˨ 
bời	ɓ əː˦˨ j 
bờm	ɓ əː˦˨ m 
bở	ɓ əː˨˨ˀ 
bởi	ɓ əː˨˨ˀ j 
bỡ	ɓ əː˨ˀ˥ 
bỡn	ɓ əː˨ˀ˥ n 
bợ	ɓ əː˨˩ 
bợm	ɓ əː˨˩ m 
bục	ɓ u˨˩ kp 
bụi	ɓ uː˨˩ˀ j 
bụm	ɓ uː˨˩ˀ m 
bụng	ɓ u˨˩ ŋm 
bụt	ɓ uː˨˩ t 
bủa	ɓ uə˨˨ˀ 
bủn	ɓ uː˨˩˨ n 
bứa	ɓ ɨə˦˥ 
bức	ɓ ɨ˦˥ k 
bứng	ɓ ɨ˦˥ ŋ 
bứt	ɓ ɨ˦˥ k 
bừa	ɓ ɨə˦˨ 
bừng	ɓ ɨ˦˨ ŋ 
bửa	ɓ ɨə˨˨ˀ 
bữa	ɓ ɨə˨ˀ˥ 
bự	ɓ ɨː˨˩ˀ 
bựa	ɓ ɨə˨˩ 
